230,Reggie Jackson\jacksre01,SG,30,LAC,39,19,20.6,3.3,7.4,.448,1.4,3.4,.405,1.9,4.0,.484,.540,0.9,1.2,.756,0.3,2.3,2.6,2.9,0.6,0.1,1.0,1.8,8.8
231,Justin James\jamesju01,SF,24,SAC,18,0,5.8,0.8,1.8,.424,0.2,0.6,.273,0.6,1.2,.500,.470,0.3,0.7,.417,0.2,0.4,0.6,0.5,0.2,0.1,0.2,0.3,2.0
232,LeBron James\jamesle01,PG,36,LAL,40,40,34.5,9.6,18.8,.513,2.4,6.6,.367,7.2,12.2,.593,.578,4.1,5.9,.699,0.6,7.5,8.1,8.0,1.1,0.6,3.8,1.6,25.8
233,DaQuan Jeffries\jeffrda01,SG,23,SAC,14,2,14.4,1.6,3.8,.415,0.6,1.8,.320,1.0,2.0,.500,.491,0.4,0.5,.857,0.5,1.1,1.6,0.3,0.4,0.3,0.5,1.4,4.1
234,Ty Jerome\jeromty01,SG,23,OKC,9,1,26.4,3.9,8.6,.455,2.2,5.2,.426,1.7,3.3,.500,.584,0.2,0.4,.500,0.7,2.7,3.3,3.2,0.8,0.2,0.7,2.4,10.2
235,Isaiah Joe\joeis01,SG,21,PHI,21,1,11.8,1.5,4.0,.369,1.1,3.0,.375,0.3,1.0,.350,.512,0.2,0.2,1.000,0.3,0.9,1.1,0.7,0.3,0.2,0.2,1.0,4.3
236,Cameron Johnson\johnsca02,PF,24,PHO,34,9,24.2,3.7,8.4,.437,2.1,5.7,.378,1.5,2.7,.559,.565,0.9,1.1,.865,0.6,2.8,3.4,1.4,0.6,0.3,0.8,1.4,10.4
237,James Johnson\johnsja01,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
238,Keldon Johnson\johnske04,SF,21,SAS,35,33,29.0,5.2,10.9,.480,0.9,2.7,.326,4.3,8.2,.531,.521,2.6,3.4,.765,1.7,4.9,6.6,2.0,0.7,0.6,1.3,2.2,13.9
239,Stanley Johnson\johnsst04,PF,24,TOR,36,5,14.1,1.0,2.6,.389,0.7,1.7,.393,0.4,0.9,.382,.516,0.3,0.4,.786,0.5,1.7,2.2,1.2,0.7,0.3,0.7,1.6,3.0
240,Tyler Johnson\johnsty01,SG,28,BRK,23,1,14.9,1.7,4.1,.411,1.2,2.9,.418,0.5,1.2,.393,.558,0.5,0.6,.923,0.2,1.5,1.7,0.9,0.3,0.0,0.3,0.8,5.1
241,Nikola Jokić\jokicni01,C,25,DEN,41,41,35.9,10.6,18.7,.566,1.5,3.6,.416,9.0,15.0,.602,.607,4.4,5.1,.866,2.9,8.3,11.2,8.6,1.6,0.6,3.0,2.8,27.0
242,Damian Jones\jonesda03,C,25,TOT,21,5,9.0,1.1,1.5,.719,0.0,0.0,.000,1.1,1.5,.742,.719,0.7,1.0,.714,0.6,1.1,1.7,0.2,0.1,0.6,0.5,1.9,2.9
242,Damian Jones\jonesda03,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
242,Damian Jones\jonesda03,C,25,LAL,7,5,13.7,2.1,2.3,.938,0.0,0.0,,2.1,2.3,.938,.938,1.3,1.4,.900,0.7,1.7,2.4,0.1,0.1,1.0,0.6,3.0,5.6
243,Derrick Jones Jr.\jonesde02,SF,23,POR,37,36,26.6,2.9,5.9,.493,0.9,2.6,.337,2.0,3.3,.615,.567,1.2,1.9,.652,1.7,2.8,4.5,0.9,0.8,1.1,0.7,2.4,7.9
244,Mason Jones\jonesma05,SG,22,HOU,26,1,11.8,1.8,4.4,.412,0.9,2.5,.359,0.9,1.9,.480,.513,1.3,2.2,.614,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8,5.8
245,Tre Jones\jonestr01,PG,21,SAS,17,0,4.2,0.9,1.6,.536,0.1,0.1,1.000,0.8,1.6,.519,.554,0.3,0.3,1.000,0.2,0.0,0.2,0.4,0.1,0.0,0.3,0.3,2.1
